date, pm25, pm10, o3, no2, co
2024/2/4, 180, 117, 30, 23, 12
2024/2/5, 171, 109, 36, 16, 11
2024/2/6, 166, 99, 55, 14, 5
2024/2/7, 143, 109, 40, 30, 
2024/2/8, 149, 108, 38, 14, 1
2024/2/9, 166, 101, 24, 19, 5
2024/2/10, 163, 102, 25, 11, 5
2024/2/11, 163, 117, 45, 21, 5
2024/2/12, 158, 107, 40, 12, 5
2024/2/13, 162, , , , 
2024/2/15, 178, 168, 47, 32, 10
2024/2/16, 179, 188, 119, 42, 12
2024/2/17, 187, 91, 18, 7, 5
2024/2/18, 156, 97, 30, 28, 8
2024/2/19, 152, , , , 
2024/2/21, 44, 63, 22, 8, 6
2024/2/22, 128, 77, 14, 19, 7
2024/2/23, 92, 90, , 22, 6
2024/2/24, 158, 103, , 29, 3
2024/2/25, 125, 139, 98, 43, 8
2024/2/26, 160, 154, 44, 90, 8
2024/2/27, 189, 125, 32, 25, 12
2024/2/28, 161, 140, 24, 43, 7
2024/2/29, 183, 120, 34, 35, 9
2024/3/1, 172, 57, 8, 5, 9
2024/3/2, 116, 51, 14, 12, 7
2024/3/3, 91, 60, 32, 19, 6
2024/3/4, 81, 100, 62, 34, 8
2024/3/5, 128, 91, 62, 24, 7
2024/3/6, 190, 68, 49, 4, 5
2024/3/7, 68, 97, 22, 22, 2
2024/3/8, 141, 102, 45, 24, 1
2024/3/9, 206, 74, 35, 13, 1
2024/3/10, 180, 72, 16, 9, 1
2024/3/11, 169, 79, 17, 3, 1
2024/3/12, 194, , , , 
2024/3/19, 235, 94, 55, 22, 3
2024/3/20, 199, 115, 27, 14, 3
2024/3/21, 228, 95, 36, 13, 6
2024/3/22, 147, 77, 28, 5, 4
2024/3/23, 140, , , , 
2024/3/30, 104, 72, 35, 6, 4
2024/3/31, 172, 93, 37, 22, 3
2023/10/1, 120, 2, 31, 13, 24
2023/10/2, 9, 11, 32, 13, 21
2023/10/3, 30, 41, 30, 13, 21
2023/10/4, 105, 39, 23, 13, 22
2023/10/5, 99, 37, 10, 1, 22
2023/10/6, 96, 44, 8, , 24
2023/10/7, 106, 52, 11, , 23
2023/10/8, 114, 57, 11, 2, 25
2023/10/9, 138, 31, 11, 5, 24
2023/10/10, 80, 22, 7, 5, 26
2023/10/11, 62, 45, 19, 5, 28
2023/10/12, 95, 54, 16, 5, 30
2023/10/13, 127, 75, 31, 5, 16
2023/10/14, 153, 56, 20, 6, 2
2023/10/15, 135, 71, 18, 5, 68
2023/10/16, 159, 76, 12, 5, 52
2023/10/17, 159, 75, 13, 5, 10
2023/10/18, 150, 65, 18, 5, 8
2023/10/19, 150, 74, 30, 6, 9
2023/10/20, 158, 61, 18, 12, 8
2023/10/21, 105, 78, 30, 12, 8
2023/10/22, 140, 68, 16, 12, 8
2023/10/23, 120, 81, 24, 12, 7
2023/10/24, 139, 69, 23, 15, 7
2023/10/25, 122, 64, 12, 32, 5
2023/10/26, 111, 64, 27, 29, 2
2023/10/27, 112, 72, 53, 25, 3
2023/10/28, 128, 65, 56, 35, 2
2023/10/29, 114, 69, 60, 30, 3
2023/10/30, 122, 77, 50, 25, 5
2023/10/31, 137, 76, 61, 24, 15
2023/11/1, 177, 62, 52, 19, 16
2023/11/2, 117, 63, 37, 21, 17
2023/11/3, 113, 66, 32, 27, 17
2023/11/4, 120, 65, 46, 12, 18
2023/11/5, 118, 66, 45, 12, 17
2023/11/6, 119, 65, 54, 16, 17
2023/11/7, 118, 50, 27, 14, 18
2023/11/8, 91, 52, 53, 19, 20
2023/11/9, 90, 46, 36, 13, 19
2023/11/10, 80, 44, 5, 12, 19
2023/11/11, 76, , , , 
2023/11/19, 137, 52, 7, 22, 15
2023/11/20, 90, , , , 
2023/11/22, 98, 69, 47, 4, 15
2023/11/23, 146, 85, , 7, 16
2023/11/24, 159, 44, 21, 12, 17
2023/11/25, 76, 46, 19, 11, 17
2023/11/26, 73, , , , 
2023/11/30, 82, 72, 48, 4, 16
2023/12/1, 137, 64, 56, 4, 17
2023/12/2, 132, 67, 67, 4, 20
2023/12/3, 69, 70, 43, 12, 20
2023/12/4, 64, 69, 22, 5, 18
2023/12/5, 132, , , , 
2023/12/9, 113, 57, 22, 13, 16
2023/12/10, 116, 57, 19, 4, 18
2023/12/11, 111, 51, 22, 13, 15
2023/12/12, 45, , , , 
2023/12/14, 47, , , , 
2023/12/19, 136, 55, 9, 13, 14
2023/12/20, 85, 72, 30, 5, 16
2023/12/21, 142, 91, 20, 13, 17
2023/12/22, 129, 87, 52, 13, 20
2023/12/23, 158, 76, 60, 5, 19
2023/12/24, 150, 72, 30, 5, 16
2023/12/25, 150, 93, 95, 20, 20
2023/12/26, 164, 84, 36, 15, 17
2023/12/27, 101, 98, 13, 11, 17
2023/12/28, 119, 90, 26, 6, 18
2023/12/29, 162, 113, 11, 29, 21
2023/12/30, 70, 56, 79, 5, 17
2023/12/31, 105, 50, 80, 16, 20
2023/7/7, 538, 837, 33, 5, 
2023/7/8, 609, , 10, 3, 
2023/7/13, 609, 837, 9, 2, 
2023/7/14, 609, 837, 8, 3, 
2023/7/15, 609, 837, 9, 3, 
2023/7/16, 609, 837, 8, 3, 
2023/7/17, 609, 837, 8, 3, 
2023/7/18, 609, 837, 8, 3, 
2023/7/19, 609, , 8, 3, 
2023/8/25, 53, 21, 16, 5, 32
2023/8/26, 53, 21, 16, 5, 26
2023/8/27, 53, 21, 16, 5, 27
2023/8/28, 53, 21, 16, 5, 27
2023/8/29, 53, , 17, 5, 27
2023/8/31, 53, 21, 16, 5, 26
2023/9/1, 54, , 16, 5, 26
2023/9/6, 53, 21, 16, 5, 26
2023/9/7, 53, 21, 16, 5, 27
2023/9/8, 53, , 16, 5, 27
2023/9/11, 66, 17, 17, 5, 19
2023/9/12, 47, 18, 15, 5, 6
2023/9/13, 53, 24, 16, 12, 8
2023/9/14, 71, 23, 17, 29, 11
2023/9/15, 70, 25, 17, 25, 13
2023/9/16, 72, 36, 17, 21, 11
2023/9/17, 90, 37, 18, 18, 13
2023/9/18, 91, 43, 18, 15, 14
2023/9/19, 105, 33, 16, 13, 15
2023/9/20, 83, 18, 15, 11, 16
2023/9/21, 51, 14, 20, 10, 17
2023/9/22, 47, 17, 7, 9, 19
2023/9/23, 57, 14, 14, 9, 20
2023/9/24, 48, 18, 17, 8, 21
2023/9/25, 58, 32, 16, 8, 20
2023/9/26, 88, 38, 17, 5, 20
2023/9/27, 97, 45, 25, , 23
2023/9/28, 118, 57, 22, , 25
2023/9/29, 135, 36, 39, 3, 25
2023/9/30, 94, 48, 34, 13, 24
2023/4/3, 22, 4, 29, 3, 10
2023/4/4, 13, 21, 21, 4, 11
2023/4/5, 46, 53, 77, 4, 10
2023/4/6, 111, 67, 53, 6, 10
2023/4/7, 144, 69, 57, 10, 13
2023/4/8, 145, 85, 52, 12, 15
2023/4/9, 144, 64, 61, 8, 12
2023/4/10, 136, 46, 48, 3, 12
2023/4/11, 101, 50, 78, 4, 12
2023/4/12, 109, 51, 65, 2, 13
2023/4/13, 111, 54, 45, 2, 13
2023/4/14, 100, 50, 23, 5, 13
2023/4/15, 104, 41, 23, 2, 13
2023/4/16, 87, 40, 25, 3, 13
2023/4/17, 88, 43, 23, 2, 14
2023/4/18, 71, , , , 
2023/4/20, 83, 33, 26, 1, 14
2023/4/21, 76, 35, 20, 1, 14
2023/4/22, 73, 25, 28, 1, 20
2023/4/23, 61, 47, 36, 7, 30
2023/4/24, 96, 97, 36, 12, 
2023/4/25, 166, 97, 35, 12, 11
2023/4/26, 166, 38, 26, 9, 18
2023/4/27, 78, 31, 18, 4, 13
2023/4/28, 69, 31, 18, 4, 13
2023/4/29, 72, 20, 21, 4, 13
2023/4/30, 50, 21, 26, 4, 14
2023/5/1, 54, 25, 23, 4, 13
2023/5/2, 59, 30, 25, 3, 12
2023/5/3, 69, 33, 21, 5, 13
2023/5/4, 77, 33, 18, 7, 14
2023/5/5, 75, 34, 19, 7, 14
2023/5/6, 72, 28, 18, 6, 15
2023/5/7, 65, 37, 17, 4, 15
2023/5/8, 79, 41, 18, 3, 15
2023/5/9, 88, 59, 19, 3, 16
2023/5/10, 128, 59, 25, 4, 19
2023/5/11, 128, 53, 21, 3, 19
2023/5/12, 111, 34, 18, 2, 19
2023/5/13, 77, 12, 15, 2, 20
2023/5/14, 36, , , , 
2023/5/17, 174, 37, 19, 2, 19
2023/5/18, 77, 31, 22, 2, 19
2023/5/19, 70, , , , 
2023/5/22, 87, 35, 19, 2, 20
2023/5/23, 70, 36, 15, 2, 20
2023/5/24, 76, 49, 13, 2, 21
2023/5/25, 75, 30, 14, 3, 22
2023/5/26, 70, 21, 14, 2, 22
2023/5/27, 55, 18, 18, 1, 22
2023/5/28, 44, 21, 19, 2, 23
2023/5/29, 51, 19, 27, 2, 23
2023/5/30, 46, 26, 23, 2, 24
2023/5/31, 62, 29, 18, 2, 25
2023/6/1, 52, 20, 13, 3, 25
2023/6/2, 50, 10, 16, 2, 26
2023/6/3, 29, 16, 18, 1, 25
2023/6/4, 41, 19, 13, 2, 26
2023/6/5, 48, 24, 18, 3, 26
2023/6/6, 60, 26, 13, 2, 26
2023/6/7, 62, 20, 19, 3, 26
2023/6/8, 50, 13, 20, 2, 27
2023/6/9, 37, 10, 21, 3, 28
2023/6/10, 29, 8, 24, 3, 27
2023/6/11, 22, 17, 12, 3, 28
2023/6/12, 46, 25, 29, 2, 6
2023/6/13, 57, , , , 
2023/6/15, 77, 39, 14, 3, 14
2023/6/16, 84, 46, 15, 4, 12
2023/6/17, 71, 28, 15, 7, 12
2023/6/18, 65, 33, 11, 7, 13
2023/6/19, 72, 39, 11, 7, 13
2023/6/20, 79, 35, 13, 7, 17
2023/6/21, 74, 32, 11, 7, 16
2023/6/22, 69, 26, 12, 5, 16
2023/6/23, 60, 21, 15, 4, 16
2023/6/24, 48, 17, 14, 4, 18
2023/6/25, 39, 29, 18, 3, 15
2023/6/26, 63, 26, 15, 7, 20
2023/6/27, 61, 28, 20, 3, 16
2023/6/28, 58, , , , 
2023/1/2, 145, 78, 61, 14, 6
2023/1/3, 150, 75, 39, 14, 6
2023/1/4, 146, 96, 47, 14, 8
2023/1/5, 167, 91, 36, 14, 8
2023/1/6, 159, 134, 30, 13, 7
2023/1/7, 173, 75, 19, 12, 6
2023/1/8, 148, 60, 34, 12, 4
2023/1/9, 120, 65, 69, 12, 4
2023/1/10, 127, 83, 70, 12, 5
2023/1/11, 144, 63, 52, 12, 3
2023/1/12, 128, 78, 28, 12, 1
2023/1/13, 140, 84, 53, 12, 
2023/1/14, 154, 84, 71, 12, 5
2023/1/15, 157, 83, 82, 12, 6
2023/1/16, 157, 85, 83, 12, 7
2023/1/17, 159, 98, 76, 12, 9
2023/1/18, 172, 101, 78, 10, 9
2023/1/19, 174, 80, 70, 5, 3
2023/1/20, 155, 66, 73, 4, 3
2023/1/21, 137, 67, 58, 3, 2
2023/1/22, 135, 67, 57, 4, 1
2023/1/23, 136, 71, 62, 3, 1
2023/1/24, 146, 102, 74, 4, 2
2023/1/25, 165, 104, 58, 4, 5
2023/1/26, 164, 96, 47, 5, 8
2023/1/27, 167, 63, 52, 5, 5
2023/1/28, 115, 77, 44, 6, 14
2023/1/29, 146, 73, 70, 4, 4
2023/1/30, 142, 98, 69, 5, 6
2023/1/31, 163, 83, 48, 5, 11
2023/2/1, 157, , , , 
2023/2/4, 148, 83, 76, 2, 4
2023/2/5, 160, 72, 69, 6, 3
2023/2/6, 147, 67, 72, 8, 1
2023/2/7, 138, 88, 74, 8, 3
2023/2/8, 164, 90, 62, 8, 3
2023/2/9, 164, 68, 69, 8, 3
2023/2/10, 143, 52, 63, 8, 3
2023/2/11, 107, 73, 83, 8, 5
2023/2/12, 145, 74, 70, 8, 2
2023/2/13, 150, 75, 75, 8, 3
2023/2/14, 148, 81, 71, 8, 5
2023/2/15, 156, 87, 74, 8, 6
2023/2/16, 160, 84, 81, 8, 5
2023/2/17, 160, 90, 79, 8, 5
2023/2/18, 164, 78, 64, 8, 4
2023/2/19, 155, 64, 64, 8, 4
2023/2/20, 134, 75, 56, 8, 5
2023/2/21, 141, 53, 41, 8, 2
2023/2/22, 111, 73, 69, 8, 4
2023/2/23, 150, 77, 68, 8, 4
2023/2/24, 152, 70, 78, 8, 3
2023/2/25, 149, 82, 64, 8, 4
2023/2/26, 159, 84, 19, 9, 7
2023/2/27, 162, 66, 51, 8, 2
2023/2/28, 129, 73, 54, 8, 4
2023/3/1, 142, 94, 52, 8, 9
2023/3/2, 167, 113, 58, 8, 13
