date, pm25, pm10, o3, no2, so2, co
2024/8/29, 45, 34, 5, 7, 4, 
2024/8/30, 41, 29, 9, 6, 3, 
2024/8/31, 35, 35, 9, 6, 5, 
2024/9/1, 38, 36, 6, 6, 5, 
2024/9/2, 44, 40, 8, 6, 4, 
2024/9/3, 44, 34, 8, 6, 4, 
2024/9/4, 32, 28, 7, 6, 4, 
2024/9/5, 31, 41, 8, 7, 4, 
2024/9/6, 43, 30, 9, 6, 5, 
2024/9/7, 38, 33, 9, 6, 4, 
2024/9/8, 38, 33, 10, 6, 5, 
2024/9/9, 37, 29, 8, 6, 5, 
2024/9/10, 37, 31, 10, 7, 4, 
2024/9/11, 42, 42, 8, 6, 4, 
2024/9/12, 40, 48, 9, 5, 4, 
2024/9/13, 33, 36, 9, 7, 5, 
2024/9/14, 37, 26, 11, 9, 4, 
2024/9/15, 38, 62, 14, 8, 6, 
2024/9/16, 98, 58, 18, 8, 5, 
2024/9/17, 80, 67, 19, 7, 6, 
2024/9/18, 121, 61, 14, 13, 6, 
2024/9/19, 70, 63, 12, 16, 8, 
2024/9/20, 88, 60, 12, 15, 8, 
2024/9/21, 69, , , , , 
2024/9/24, 58, 23, 18, 16, 6, 
2024/9/25, 48, 17, 15, 7, 6, 
2024/9/26, 40, 12, 10, 7, 2, 
2024/9/27, 26, 17, 9, 7, 4, 
2024/9/28, 36, 27, 13, 7, 6, 
2024/9/29, 42, 33, 23, 8, 3, 
2024/9/30, 41, 66, 30, 9, 4, 
2024/4/23, 183, 88, 22, 6, 12, 9
2024/4/24, 185, 79, 23, 4, 18, 7
2024/4/25, 115, 60, 6, 3, 20, 
2024/4/26, 89, , , , , 
2024/4/29, 140, 107, 33, 3, 13, 
2024/4/30, 136, 88, 24, 3, , 
2024/5/1, 116, 86, 28, 3, , 
2024/5/2, 114, 93, 23, 3, , 
2024/5/3, 113, 77, 18, 5, , 
2024/5/4, 119, 73, 21, 5, , 
2024/5/5, 108, 60, 11, 4, , 
2024/5/6, 73, 71, 15, 4, 18, 
2024/5/7, 81, 66, 15, 3, 9, 
2024/5/8, 84, 55, 14, 3, 4, 
2024/5/9, 62, 58, 12, 3, 4, 
2024/5/10, 53, 76, 7, 3, 6, 
2024/5/11, 80, , , , , 
2024/5/13, 111, 88, 34, 5, 6, 
2024/5/14, 155, 106, , 9, 6, 
2024/5/15, 177, 77, 15, 4, 4, 
2024/5/16, 103, 67, 65, 3, 46, 
2024/5/17, 126, 69, 30, 2, 4, 
2024/5/18, 135, 69, 23, 2, 5, 
2024/5/19, 106, 55, 19, 2, 4, 
